"","pubmed_num","Cisplatin","Fluorouracil","Bleomycin","Paclitaxel","Docetaxel","Cetuximab","Doxorubicin","Gemcitabine","Gefitinib","Celecoxib","Epirubicin","Erlotinib","Vinblastine","Etoposide","Aldesleukin","Vitamin.A","Arsenic.trioxide","Quercetin","Raltitrexed","Mitoxantrone","Imatinib","Bevacizumab","Pemetrexed","Indomethacin","Trastuzumab","Capecitabine","Resveratrol","Sirolimus","Tamoxifen","Dactinomycin","Dexamethasone","Genistein","Lovastatin","Nicotinamide","Nimesulide","Temsirolimus","Tretinoin","Berberine","Hydrocortisone","Lapatinib","Sulindac","Amsacrine","Ciprofloxacin","Floxuridine","Flucytosine","Gabapentin","Heparin","Hyaluronidase","Marimastat","Menadione","Panitumumab","Thalidomide","Vorinostat","Cerulenin","Chlorpromazine","Epoetin.alfa","Everolimus","Flavopiridol","Hyaluronan","Lidocaine","Palmitic.Acid","Staurosporine","Sunitinib","Zidovudine","Acetazolamide","Acitretin","Alpha.Difluoromethylornithine","Botulinum.Toxin.Type.A","Calcium","Carvedilol","Chlormezanone","Cyproterone","Daclizumab","Deferoxamine","Dexrazoxane","Dicumarol","Dipyridamole","Disulfiram","Epinephrine","Etodolac","Etretinate","Fenofibrate","Geldanamycin","Ginseng","Hydroxocobalamin","Ibuprofen","Isoniazid","Isoproterenol","Isotretinoin","Ketorolac","Megestrol","Melatonin","Minocycline","Octreotide","Palifermin","Perindopril","Rifampin","Rosiglitazone","Sorafenib","Tazarotene","Teniposide","Testosterone","TRICLOSAN","Uracil","Valproic.Acid","Vapreotide","Verapamil","Vitamin.C"
"pubmed evidence",0,1160,609,254,209,186,138,89,53,37,36,35,22,22,18,17,15,13,13,13,12,10,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TP53",171,1.26511374535055,0.618899803385005,0.552734902825047,0.624189041276196,0.624189041276196,0.577589394091983,0.632710544494632,0.618899803385005,0.55056580385103,0.616433086016105,0.63786643917857,0.55056580385103,0.557678373015951,0.632710544494632,0.55460446384318,0.570850531219841,0.632682289469767,0.637759803380327,0.618899803385005,0.632710544494632,0.629836451631371,0.601556428818588,0.628591837232969,0.608885198763147,0.582937348454004,0.618899803385005,0.629720752691117,0.610095491633753,0.633368097691494,0.632710544494632,0.579770771502063,0.644805636883725,0.607382970565374,0.566503837880113,0.60190147824364,0.596064354997293,0.616892047092433,0.592361747214149,0.482350928688468,0.573681335683171,0.609598485454902,0.638254903236284,0.632710544494632,0.618899803385005,0.616539178983482,0.609672723388815,0.632312982580836,0.599629285091657,0.564253618404549,0.622969490079891,0.55056580385103,0.596842805210641,0.625095715172272,0.597825380358208,0.57283191727527,0.59164448813172,0.596064354997293,0.628351644095979,0.628869658306259,0.55056580385103,0.543874176433961,0.627432586384584,0.634193315103101,0.604112497063808,0.458615927131348,0.609621803377654,0.544976808550821,0.569917048565863,0.457695927410426,0.610937671729103,0.563067263840797,0.608313229799134,0.57762213850809,0.546608045751941,0.632710544494632,0.622969490079891,0.591482024218923,0.510049781098565,0.581825576988848,0.598301704339239,0.620929078476456,0.562633963546883,0.570299880450269,0.595006694725871,0.610254719726768,0.620128192877365,0.614277929610502,0.614995316856816,0.600962612171526,0.598301704339239,0.584370446737625,0.631505723460968,0.61101269251869,0.582926346210522,0.629542901899738,0.497460560076969,0.605616170427317,0.562633963546883,0.636931974394738,0.620929078476456,0.632710544494632,0.629181698126119,0.594633124606812,0.608100958356822,0.61961807927078,0.604743681765281,0.548350998890939,0.622104413493861
"CDKN2A",159,1.20224240846603,0.61143298920037,0.588448082136343,0.593970704250737,0.593970704250737,0.605081140639888,0.606008512329024,0.61143298920037,0.579108939964022,0.608151996761015,0.613559017246792,0.579108939964022,0.575086716066853,0.606008512329024,0.593842521644783,0.606590898838858,0.632559345017986,0.62564184437965,0.61143298920037,0.606008512329024,0.592112961945314,0.627245334049954,0.619504744360525,0.599850390814414,0.614772590367429,0.61143298920037,0.62354225915829,0.595571886055824,0.599966232139321,0.606008512329024,0.584204956088454,0.619961267253404,0.549311290589134,0.592522696584722,0.599890646244253,0.57919775437927,0.618760200231285,0.598630763701907,0.510174698956432,0.608087755829922,0.615020761031276,0.605795524855019,0.606008512329024,0.61143298920037,0.585950484709989,0.569130290681155,0.607904760577062,0.587076268576974,0.594740298326284,0.587655087713446,0.579108939964022,0.607234432190077,0.601901302104741,0.604161059261886,0.575893900133689,0.558301332729072,0.57919775437927,0.619469309315265,0.626822812476628,0.579108939964022,0.489871951477136,0.624863461979086,0.597844018222072,0.588911101539477,0.518467253128085,0.628428877500884,0.559686337189936,0.573025924250598,0.515612721926681,0.616046865917818,0.593947498823662,0.590350615179871,0.610863537642894,0.536950070720028,0.606008512329024,0.587655087713446,0.613948478088549,0.522144170776201,0.60121192943611,0.601355254252078,0.627411120592795,0.558168758116549,0.599793326714003,0.603960877217363,0.6010279770851,0.619116332364437,0.585517588358542,0.605981935013671,0.611436543154884,0.601355254252078,0.526652025198854,0.582624776679604,0.631996838969031,0.501625610900336,0.621375597555567,0.482660458168348,0.569325789056944,0.558168758116549,0.607642191090719,0.627411120592795,0.606008512329024,0.599398707470721,0.571126593172209,0.600190843693851,0.588764636668241,0.561665306251228,0.529295383239205,0.616808078135554
"PTGS2",75,0.601688972148444,0.583027868515412,0.531255965727429,0.590853989194051,0.590853989194051,0.574641304900265,0.591550601500369,0.583027868515412,0.561444191741395,1.98953809839535,0.603272487105644,0.561444191741395,0.554594206642316,0.591550601500369,0.544396809389657,0.57229115965453,0.611117660609536,0.615307611564607,0.583027868515412,0.591550601500369,0.594150388915806,0.59878588790302,0.59320226029515,0.641806352075424,0.579015362558935,0.583027868515412,0.63368592518721,0.57194522383724,0.603171795378013,0.591550601500369,0.572718716349688,0.615081891430249,0.544919475695057,0.559331028568437,0.660424700554611,0.556019604244799,0.603393225543063,0.555825648459308,0.484655276747428,0.576018266299058,0.637744425597419,0.601149262021885,0.591550601500369,0.583027868515412,0.555641419957834,0.570599683112519,0.599639377716493,0.576945240512278,0.580319784350781,0.587278398245615,0.561444191741395,0.640735309451015,0.581218667407625,0.577239908550926,0.586132905921829,0.566692751928376,0.556019604244799,0.60411585302042,0.615934990755792,0.561444191741395,0.508626705494205,0.606183035802285,0.60355285968088,0.570009428945511,0.495974074426186,0.599581956472296,0.546991525765178,0.571304380623821,0.470480539437357,0.601324874450781,0.548152598274005,0.57400946454959,0.564000305980009,0.539956117056887,0.591550601500369,0.587278398245615,0.572977982745918,0.508426169340982,0.560062893436245,0.662445906440259,0.603006134620134,0.557830060876575,0.557600530910513,0.65537667431204,0.582755779787367,0.639166941890275,0.574921163044753,0.576210050199954,0.597044914019051,0.662445906440259,0.542260522973709,0.587593832254367,0.603931526875229,0.539918029552471,0.60767763618888,0.473812863603672,0.573782847978621,0.557830060876575,0.609303495462557,0.603006134620134,0.591550601500369,0.595002632225853,0.566913096448128,0.580290562893397,0.586355169776016,0.574988245514035,0.527212180165314,0.588779071313809
"GSTM1",70,0.61036016623486,0.605066816322708,0.560986666653132,0.59172040665439,0.59172040665439,0.592634896986491,0.603320092456997,0.605066816322708,0.566832225302453,0.597166234240108,0.614750009649515,0.566832225302453,0.574580090501654,0.603320092456997,0.549761418898157,0.595409618585267,0.621311024594504,0.624500259283989,0.605066816322708,0.603320092456997,0.583005082689342,0.601822403687042,0.611149221072671,0.585091885016598,0.598634218921349,0.605066816322708,0.62093675186358,0.595953625803116,0.593844086520547,0.603320092456997,0.572454379515555,0.6236637594232,0.545352867259772,0.551517013296058,0.595915537683724,0.584996667581418,0.603079631349117,0.571726209489871,0.519979534844887,0.590299759899286,0.59826363832498,0.594165454988652,0.603320092456997,0.605066816322708,0.583156687227113,0.576369530297166,0.603319373744301,0.598115585032102,0.594680291971046,0.586277169829356,0.566832225302453,0.590884164223358,0.588201216970145,0.587490162437785,0.541589293381548,0.553219673705982,0.584996667581418,0.618796151210161,0.616357206544445,0.566832225302453,0.461197607186064,0.609994407761613,0.596228982096188,0.570831050445931,0.474132361900877,0.608560330991042,0.577994627286633,0.567891930520713,0.512424110412026,0.610876728937002,0.587421145848662,0.564924929079204,0.581485137464769,0.5537019442508,0.603320092456997,0.586277169829356,0.602161290342981,0.538323323548647,0.588455463441325,0.587001394970865,0.605523647146048,0.539263399369029,0.586084074817444,0.598128356712925,0.607977101086413,0.609387126111355,0.566308382475713,0.600680039722475,0.603949798941817,0.587001394970865,0.512809825818272,0.58214148261124,0.616181769304352,0.522143103733382,0.618650427982999,0.48810955339031,0.549962517734249,0.539263399369029,0.606099313558616,0.605523647146048,0.603320092456997,0.586361855796897,0.551366064349006,0.583245066311065,0.577755172725056,0.549380930619914,0.506190680841519,0.604503112792116
"VEGFA",64,0.62519420295735,0.623842266179415,0.58862707935566,0.612981557208995,0.612981557208995,0.61153900076743,0.622045891774228,0.623842266179415,0.608708929060386,0.631044988844437,0.629720812631887,0.608708929060386,0.579631748647319,0.622045891774228,0.569671604083622,0.604035793287482,0.647574173225117,0.639670560331738,0.623842266179415,0.622045891774228,0.612016066971777,0.671606198601133,0.631895005103255,0.640256324371087,0.619227724207572,0.623842266179415,0.650475146762885,0.580021182482579,0.618717425956361,0.622045891774228,0.602612129076915,0.632834125518168,0.569361483548708,0.615500839643036,0.614672577747973,0.563557429614637,0.629086271715581,0.603203886801257,0.516787227479889,0.622851756368338,0.646141630173159,0.630393767461329,0.622045891774228,0.623842266179415,0.588716278321972,0.576655547889848,0.621094214886684,0.584473982953401,0.590910844877583,0.61048919111826,0.608708929060386,0.619777532804252,0.613581197355686,0.61520226166086,0.615614286225118,0.592234575072281,0.563557429614637,0.629552888158714,0.646593148266993,0.608708929060386,0.522839918314802,0.639123709655748,0.614279109941735,0.619535280733128,0.533983963297385,0.627685347183879,0.542163603599581,0.605328523453556,0.481218023273115,0.636194158464735,0.580664526832985,0.607800163446051,0.589418304748801,0.538215115616042,0.622045891774228,0.61048919111826,0.611545146832178,0.497479014614082,0.581554640889381,0.633111167810595,0.630522391841578,0.608434145147696,0.605266528403134,0.62935412902974,0.603577451425224,0.643878511812562,0.59787354601745,0.608206073728438,0.627592670393423,0.633111167810595,0.563266598558126,0.601014278146573,0.649345807068349,0.533396148597649,0.632081691861502,0.475373605603242,0.600627060549068,0.608434145147696,0.626731240652706,0.630522391841578,0.622045891774228,0.620268925571576,0.607158639574226,0.58761634039337,0.624604545759202,0.583857805394361,0.585500506593353,0.621375683788596
"MMP9",58,0.43151770357303,0.492285283118098,0.524956947835783,0.37411230070048,0.37411230070048,0.55320296810508,0.437187582187195,0.492285283118098,0.500594995446239,0.428710644555232,0.455030515623268,0.500594995446239,0.55434941294052,0.437187582187195,0.497874948836554,0.522044146929343,0.486808474554996,0.461712828945565,0.492285283118098,0.437187582187195,0.324726554625824,0.514762116894148,0.481103226542734,0.37219646468482,0.539253831989795,0.492285283118098,0.486165202388841,0.50319024828546,0.348179147041477,0.437187582187195,0.440992968351023,0.895627470012629,0.293204509027953,0.334807537950009,0.448717770911655,0.5070546352292,0.415285751248285,0.475446210593066,0.541116042322334,0.508200626108467,0.422233250509026,0.348531543888095,0.437187582187195,0.492285283118098,0.438369206285952,0.410481472475851,0.374378723503178,0.550724702064114,0.597226289741162,0.35174532610603,0.500594995446239,0.45640480598794,0.353221862129753,0.407864411703083,0.334371387942114,0.289891030286118,0.5070546352292,0.515072201755951,0.499013455614214,0.500594995446239,0.0667389763308074,0.451534556873954,0.411354398020455,0.361457912330852,0.321578202683504,0.511064343863664,0.554820117123131,0.469304110390665,0.628004085923769,0.541385343673192,0.564165617364598,0.307410935065766,0.548528315916472,0.558847072236508,0.437187582187195,0.35174532610603,0.524258772426893,0.584552064659328,0.560054861884973,0.451410199908405,0.461348537594852,0.26070303011094,0.504516564877529,0.497353426060183,0.51721296292321,0.468939448344245,0.304904653254789,0.492128381523808,0.509423131039628,0.451410199908405,0.158307155282015,0.372573329106463,0.547012779771155,0.278297841691626,0.452770187983874,0.409368600634982,0.237729757145236,0.26070303011094,0.417205078592676,0.461348537594852,0.437187582187195,0.331490954092497,0.249822434436354,0.455633978063461,0.304180590981059,0.266660032930354,0.174890163174237,0.449778403124055
"EGFR",55,0.59744040835872,0.607448280464073,0.581893802112247,0.600929821495659,0.600929821495659,2.0166034552745,0.591423164842928,0.607448280464073,0,0.603264721419086,0.596754164846728,0,0.599421064384453,0.591423164842928,0.606260267606099,0.623953096719693,0.636866106832288,1.23389398993549,0.607448280464073,0.591423164842927,0.582479586689331,0.634973689105433,0.612451787965812,0.608059660561237,0.663874900806996,0.607448280464073,0.63848530589522,0.57734967659335,1.19495325369062,0.591423164842928,0.59907816568116,0.612222248706275,0.523193017295392,0.570109016969853,0.598359661738734,0.559914788239485,0.61753997724689,0.567824089664299,0.555842536979286,0.672318011870285,0.626864343407815,0.587782860241857,0.591423164842928,0.607448280464073,0.559189718279132,0.57854887400106,0.607016376365981,0.604783073397031,0.62596661287999,0.579449013102734,0,0.628783274198389,0.568331898768939,0.576234084707419,0.589677811087515,0.541699516020274,0.559914788239485,0.633230722889195,0.623487353641331,0,0.479103867471967,0.622943511288557,0.606825438103632,0.569182916374627,0.54716739165661,0.64061812945291,0.550615198900452,0.59312494611473,0.568592016624843,0.62343058136936,0.60733858878734,0.571406692798442,0.624724673175808,0.580102570782465,0.591423164842928,0.579449013102734,0.599125295099969,0.544464256296782,0.591671976724364,0.608910229819868,0.629448465334786,0.578874975476368,0.571254907492048,0.61752735568399,0.611933733705163,0.633153867303273,0.58126214485634,0.585958480809224,0.633166370459817,0.608910229819868,0.522643546796625,0.585032098548633,0.637101225617834,0.520297485255822,0.625011080265939,0.477237768779903,0.54897391490363,0.578874975476368,0.616045641589808,0.629448465334786,0.591423164842927,0.589285339095108,0.566839619020256,0.586718601279763,0.592089172808638,0.5609873342682,0.520792208258532,0.587969158345244
"CCND1",54,1.25976550393399,0.628855902948042,0.577879398691402,0.616507483726774,0.616507483726774,0.606702433883706,0.63643960511199,0.628855902948042,0.596239581953685,0.619223820692724,0.642314275550072,0.596239581953685,0.580438939233784,0.63643960511199,0.569616689743867,0.598230160981623,0.657024132532933,0.64418001487982,0.628855902948042,0.63643960511199,0.616352538659135,0.63145961598045,0.637182197171057,0.624131671174989,0.616277649571411,0.628855902948042,0.644791609935964,0.602720160509764,0.625238426749257,0.63643960511199,0.598656618186404,0.640221384969824,0.578543524931343,0.609376699542717,0.612605925736661,0.587447750280296,0.624932222658993,0.615092133847911,0.522684967555261,0.6170277263421,0.630835674929451,0.634292436780857,0.63643960511199,0.628855902948042,0.59810517874519,0.58935350523936,0.628753403774984,0.59882529225979,0.597663920884909,0.613815517837271,0.596239581953685,0.616073561512084,0.620092206841129,0.609718533473307,0.601309660935902,0.604140301547264,0.587447750280296,0.64054596245665,0.648757414731563,0.596239581953685,0.519244465007861,0.63716426770658,0.61913919744229,0.609357827537777,0.517118710285208,0.623678611329669,0.563164453048699,0.593793904761011,0.486504670932163,0.628503267325303,0.58500555355789,0.606470248624978,0.590999819560526,0.547658441826787,0.63643960511199,0.613815517837271,0.628227004965991,0.526403386748348,0.589359811609454,0.618494593635648,0.625866869247685,0.586129113963139,0.599300601058584,0.620950084538205,0.615506465230262,0.639341405202362,0.599043323074492,0.615505837802233,0.622544101368849,0.618494593635648,0.571246384776806,0.604766420366863,0.639037103334786,0.552236489971449,0.636090034416105,0.47903860248805,0.594799173712217,0.586129113963139,0.629777090000186,0.625866869247685,0.63643960511199,0.62291842033113,0.597108763083183,0.611400603647916,0.619217158945811,0.592345328942632,0.56292392455372,0.626130496060987
"CD44",54,0.631070391824266,0.640610999035838,0.594498194884627,0.602761474954743,0.602761474954743,0.652331837591168,0.622677008464714,0.640610999035839,0.639133766713741,0.624296221108416,0.633361024869337,0.639133766713741,0.640000997487604,0.622677008464714,0.602202903140613,0.628430626948134,0.655948538017651,0.641469880460517,0.640610999035839,0.622677008464714,0.584582229293442,0.652239635348905,0.642022825773223,0.618304023264802,0.652838301142302,0.640610999035838,0.660779919966164,0.616145232282866,0.59995686557139,0.622677008464714,0.606440685637979,0.633760037964285,0.532541916367519,0.578786723371701,0.615637451034157,0.607044016904252,0.615756469600938,0.597142930402319,0.595229908572688,0.648217307221083,0.635271046708659,0.606431371218618,0.622677008464714,0.640610999035838,0.592037676835513,0.599643312819378,0.605174588554652,0.63856736444414,0.647726429737353,0.59143979183563,0.639133766713741,0.629237584543856,0.581954847014627,0.59736973180581,0.598730021955743,0.559691812334969,0.607044016904252,0.650713477133928,0.659694087109963,0.639133766713741,0.448843364434714,0.63483754878714,0.614629613676169,0.581900132551338,0.525471195155949,0.641308731651034,0.601696044288651,0.611844435148417,0.593797117314893,0.657717104872309,0.637355111941006,0.576297011223012,0.631006961883408,0.607292376029768,0.622677008464714,0.59143979183563,0.632882755624569,0.590342434827671,0.624040982286197,0.629371480577316,0.627989557177396,0.570099358161789,0.612060414568094,0.647612797070136,0.632898547851972,0.652350296496148,0.5678499614822,0.622938446909566,0.654605236338414,0.629371480577316,0.512134500554329,0.597650960834134,0.663861077236256,0.523690231709989,0.633510629842922,0.49228997014067,0.555026931550377,0.570099358161789,0.625498165897748,0.627989557177396,0.622677008464714,0.597482475447398,0.565083394017371,0.610637163713075,0.591066579403898,0.549220311912419,0.509988129335597,0.619885482976721
